,car,price,body,mileage,engV,engType,registration,year,model,drive,engV_cat,age,age_Group,price_cat,mpy,mpy_cat
1510,Daewoo,3950.0,sedan,127.0,1.5,Petrol,yes,2006,Lanos,front,Low,10,6-10,Low,12.7,Moderate
1511,Renault,11200.0,vagon,165.0,1.5,Diesel,yes,2012,Megane,front,Low,4,3-6,Moderate,41.25,Extreme
1512,Renault,11100.0,vagon,155.0,1.5,Diesel,yes,2012,Megane,front,Low,4,3-6,Moderate,38.75,Extreme
1513,Opel,3850.0,sedan,184.0,2.0,Petrol,yes,1993,Vectra A,front,Low,23,10-29,Low,8.0,Low
1514,Chevrolet,5750.0,sedan,99.0,1.5,Petrol,yes,2009,Aveo,front,Low,7,6-10,Low,14.14,Moderate
1515,Volkswagen,15500.0,sedan,178.0,2.0,Diesel,no,2013,Passat B7,front,Low,3,1-3,Moderate,59.33,Extreme
1516,Toyota,27800.0,sedan,157.0,3.5,Petrol,yes,2011,Camry,front,Moderate,5,3-6,Moderate,31.4,Extreme
1517,Volkswagen,10000.0,sedan,56.0,1.8,Petrol,no,2015,Passat B7,front,Low,1,0-1,Low,56.0,Extreme
1518,Nissan,10999.0,crossover,157.0,1.5,Diesel,yes,2008,Qashqai,front,Low,8,6-10,Moderate,19.62,High
1519,Hyundai,12800.0,sedan,106.0,2.0,Petrol,yes,2012,Sonata,front,Low,4,3-6,Moderate,26.5,Extreme
1520,Skoda,8400.0,sedan,122.0,1.8,Petrol,yes,2008,Octavia,front,Low,8,6-10,Low,15.25,High
1521,Mitsubishi,4950.0,sedan,256.0,2.0,Petrol,yes,1997,Galant,front,Low,19,10-29,Low,13.47,Moderate
1522,Renault,7200.0,van,73.0,1.5,Diesel,yes,2012,Kangoo груз.,front,Low,4,3-6,Low,18.25,High
1523,Mitsubishi,11300.0,crossover,128.0,2.4,Gas,yes,2008,Outlander,full,Moderate,8,6-10,Moderate,16.0,High
1524,Skoda,14900.0,hatch,710.0,1.8,Petrol,yes,2012,Octavia A5,front,Low,4,3-6,Moderate,177.5,Extreme
1525,Fiat,5300.0,van,240.0,2.8,Diesel,yes,2006,Ducato груз.,front,Moderate,10,6-10,Low,24.0,High
1526,Ford,7499.0,van,209.0,1.8,Diesel,yes,2009,Transit Connect пасс.,front,Low,7,6-10,Low,29.86,Extreme
1527,Skoda,15500.0,sedan,98.0,1.8,Petrol,yes,2010,Superb,front,Low,6,3-6,Moderate,16.33,High
1528,VAZ,2999.0,vagon,135.0,1.6,Petrol,yes,2006,2111,front,Low,10,6-10,Low,13.5,Moderate
1529,Volkswagen,18000.0,vagon,161.0,1.4,Petrol,yes,2011,Passat B7,front,Low,5,3-6,Moderate,32.2,Extreme
1530,Mazda,13200.0,sedan,122.0,2.0,Gas,yes,2009,6,front,Low,7,6-10,Moderate,17.43,High
1531,Volkswagen,8000.0,van,350.0,1.9,Diesel,yes,2004,T5 (Transporter) пасс.,front,Low,12,10-29,Low,29.17,Extreme
1532,Bentley,85000.0,other,32.0,6.0,Petrol,yes,2009,Continental,full,High,7,6-10,High,4.57,Low
1533,Opel,2600.0,sedan,350.0,2.0,Diesel,no,1999,Vectra B,front,Low,17,10-29,Low,20.59,High
1534,Seat,10950.0,vagon,145.0,2.0,Diesel,yes,2008,Altea XL,front,Low,8,6-10,Moderate,18.12,High
1535,BMW,41000.0,crossover,80.0,3.0,Petrol,yes,2012,X6,full,Moderate,4,3-6,Moderate,20.0,High
1536,BMW,69999.0,crossover,0.0,2.5,Diesel,yes,2016,X5,full,Moderate,0,0-1,High,0.0,Low
1537,Nissan,16699.0,hatch,24.0,1.0,Other,yes,2013,Leaf,front,Low,3,1-3,Moderate,8.0,Low
1538,Skoda,5100.0,hatch,161.0,1.2,Petrol,yes,2006,Fabia,front,Low,10,6-10,Low,16.1,High
1539,Mercedes-Benz,74999.0,crossover,1.0,2.2,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
1540,VAZ,3600.0,hatch,137.0,1.6,Petrol,yes,2005,2112,front,Low,11,10-29,Low,12.45,Moderate
1541,Audi,3900.0,vagon,232.0,2.5,Diesel,no,2003,A6,full,Moderate,13,10-29,Low,17.85,High
1542,BMW,66666.0,crossover,0.0,2.0,Diesel,yes,2016,X5,full,Low,0,0-1,High,0.0,Low
1543,Infiniti,19500.0,other,98.0,3.7,Petrol,yes,2008,G37,rear,Moderate,8,6-10,Moderate,12.25,Moderate
1544,VAZ,1800.0,sedan,125.0,1.5,Petrol,yes,2000,2107,rear,Low,16,10-29,Low,7.81,Low
1545,Renault,7600.0,van,108.0,1.0,Diesel,yes,2013,Kangoo груз.,front,Low,3,1-3,Low,36.0,Extreme
1546,Nissan,8200.0,hatch,144.0,1.6,Petrol,yes,2008,TIIDA,front,Low,8,6-10,Low,18.0,High
1547,Audi,23500.0,crossover,116.0,4.2,Petrol,yes,2008,Q7,full,High,8,6-10,Moderate,14.5,Moderate
1548,Audi,51000.0,crossover,44.0,3.0,Diesel,yes,2014,Q7,full,Moderate,2,1-3,High,22.0,High
1549,ZAZ,2350.0,hatch,41.0,1.2,Petrol,yes,2006,1102 Таврия,front,Low,10,6-10,Low,4.1,Low
1550,Kia,7499.0,sedan,193.0,2.0,Petrol,yes,2007,Magentis,front,Low,9,6-10,Low,21.44,High
1551,Hyundai,16000.0,crossover,55.0,2.0,Gas,yes,2012,Tucson,full,Low,4,3-6,Moderate,13.75,Moderate
1552,Chevrolet,13300.0,hatch,77.0,1.8,Other,yes,2012,Cruze,front,Low,4,3-6,Moderate,19.25,High
1553,Volkswagen,2900.0,sedan,238.0,2.0,Gas,no,2002,Passat B5,front,Low,14,10-29,Low,17.0,High
1554,Opel,6999.0,van,344.0,1.7,Diesel,yes,2008,Combo пасс.,front,Low,8,6-10,Low,43.0,Extreme
1555,VAZ,3850.0,sedan,80.0,1.6,Petrol,yes,2008,2170,front,Low,8,6-10,Low,10.0,Low
1556,Hyundai,10500.0,crossover,106.0,2.0,Petrol,yes,2008,Tucson,full,Low,8,6-10,Moderate,13.25,Moderate
1557,Volkswagen,22500.0,van,62.0,2.0,Diesel,yes,2011,Caravelle,front,Low,5,3-6,Moderate,12.4,Moderate
1558,Skoda,8200.0,hatch,72.0,1.4,Petrol,yes,2010,Fabia,front,Low,6,3-6,Low,12.0,Moderate
1559,Ford,9300.0,hatch,182.0,1.6,Gas,yes,2011,Focus,front,Low,5,3-6,Low,36.4,Extreme
1560,BMW,12950.0,sedan,268.0,4.0,Diesel,yes,2004,740,rear,Moderate,12,10-29,Moderate,22.33,High
1561,BMW,56500.0,crossover,45.0,3.0,Diesel,yes,2014,X6,full,Moderate,2,1-3,High,22.5,High
1562,Audi,9000.0,sedan,158.0,2.0,Gas,yes,2003,A4,front,Low,13,10-29,Low,12.15,Moderate
1563,Volkswagen,17000.0,crossover,158.0,2.5,Diesel,yes,2007,Touareg,full,Moderate,9,6-10,Moderate,17.56,High
1564,Volkswagen,3700.0,sedan,195.0,1.9,Diesel,no,2001,Passat B5,front,Low,15,10-29,Low,13.0,Moderate
1565,Mercedes-Benz,23200.0,sedan,58.0,1.8,Petrol,yes,2010,C-Class,rear,Low,6,3-6,Moderate,9.67,Low
1566,Daewoo,3800.0,sedan,128.0,1.5,Gas,yes,2008,Nexia,front,Low,8,6-10,Low,16.0,High
1567,BMW,52000.0,crossover,7.0,2.0,Diesel,yes,2015,X1,full,Low,1,0-1,High,7.0,Low
1568,Skoda,12200.0,vagon,150.0,1.8,Petrol,yes,2012,Octavia A5,front,Low,4,3-6,Moderate,37.5,Extreme
1569,Volkswagen,2499.0,sedan,220.0,1.9,Diesel,no,2004,Passat B5,front,Low,12,10-29,Low,18.33,High
1570,Volkswagen,27200.0,crossover,1.0,2.0,Diesel,yes,2015,Tiguan,front,Low,1,0-1,Moderate,1.0,Low
1571,Porsche,18900.0,crossover,141.0,4.5,Petrol,yes,2005,Cayenne,full,High,11,10-29,Moderate,12.82,Moderate
1573,Opel,3800.0,sedan,335.0,1.6,Petrol,yes,1998,Vectra B,front,Low,18,10-29,Low,18.61,High
1574,BMW,16300.0,crossover,258.0,4.4,Petrol,yes,2005,X5,full,High,11,10-29,Moderate,23.45,High
1575,BMW,17500.0,sedan,102.0,2.0,Petrol,yes,2011,320,rear,Low,5,3-6,Moderate,20.4,High
1576,Fiat,7500.0,van,168.0,1.3,Diesel,yes,2011,Doblo груз.,front,Low,5,3-6,Low,33.6,Extreme
1577,BMW,6100.0,sedan,438.0,2.0,Gas,yes,1997,320,rear,Low,19,10-29,Low,23.05,High
1578,Opel,5100.0,sedan,190.0,1.6,Other,yes,1999,Astra F,front,Low,17,10-29,Low,11.18,Moderate
1579,BMW,16500.0,crossover,230.0,3.0,Gas,yes,2004,X5,full,Moderate,12,10-29,Moderate,19.17,High
1580,Land Rover,19999.0,crossover,106.0,4.4,Gas,yes,2005,Range Rover Sport,full,High,11,10-29,Moderate,9.64,Low
1581,Seat,5900.0,hatch,157.0,1.4,Petrol,yes,2006,Ibiza,front,Low,10,6-10,Low,15.7,High
1582,Kia,9900.0,sedan,127.0,2.7,Gas,yes,2008,Magentis,front,Moderate,8,6-10,Low,15.88,High
1583,ZAZ,4000.0,other,130.0,1.3,Petrol,yes,1961,965,full,Low,55,30+,Low,2.36,Low
1584,Mercedes-Benz,29500.0,sedan,64.0,1.6,Petrol,yes,2013,CLA 200,front,Low,3,1-3,Moderate,21.33,High
1585,BMW,15000.0,vagon,245.0,3.0,Gas,yes,2006,530,full,Moderate,10,6-10,Moderate,24.5,High
1586,Mercedes-Benz,5850.0,van,240.0,2.2,Diesel,yes,2001,Vito груз.,front,Moderate,15,10-29,Low,16.0,High
1589,Audi,13900.0,other,197.0,2.0,Diesel,yes,2006,A6,front,Low,10,6-10,Moderate,19.7,High
1590,Volkswagen,18600.0,sedan,2.0,1.6,Petrol,yes,2015,Jetta,front,Low,1,0-1,Moderate,2.0,Low
1591,Mitsubishi,7300.0,sedan,121.0,1.6,Gas,yes,2008,Lancer,front,Low,8,6-10,Low,15.12,High
1592,Hyundai,6800.0,sedan,140.0,1.5,Diesel,yes,2008,Accent,front,Low,8,6-10,Low,17.5,High
1593,Mercedes-Benz,4700.0,sedan,260.0,2.7,Diesel,no,2002,E-Class,rear,Moderate,14,10-29,Low,18.57,High
1594,Volkswagen,5400.0,vagon,250.0,1.6,Petrol,yes,2003,Golf IV,front,Low,13,10-29,Low,19.23,High
1595,Mazda,10700.0,sedan,148.0,2.0,Petrol,yes,2008,6,front,Low,8,6-10,Moderate,18.5,High
1596,BMW,19999.0,crossover,227.0,3.0,Diesel,yes,2006,X5,full,Moderate,10,6-10,Moderate,22.7,High
1597,Volkswagen,7700.0,van,177.0,1.9,Diesel,yes,2008,T5 (Transporter) груз,front,Low,8,6-10,Low,22.12,High
1598,Skoda,7000.0,sedan,160.0,1.8,Gas,yes,2003,Octavia Tour,front,Low,13,10-29,Low,12.31,Moderate
1599,Porsche,23500.0,crossover,97.0,4.5,Petrol,yes,2004,Cayenne,full,High,12,10-29,Moderate,8.08,Low
1600,Land Rover,99277.0,crossover,46.0,4.4,Diesel,yes,2014,Range Rover,full,High,2,1-3,High,23.0,High
1601,Land Rover,89000.0,crossover,80.0,5.0,Petrol,yes,2013,Range Rover,full,High,3,1-3,High,26.67,Extreme
1602,Land Rover,46800.0,crossover,51.0,2.2,Other,yes,2013,Range Rover Evoque,full,Moderate,3,1-3,Moderate,17.0,High
1603,Renault,2350.0,vagon,245.0,1.9,Diesel,no,2003,Laguna,front,Low,13,10-29,Low,18.85,High
1604,Toyota,10500.0,sedan,180.0,3.5,Petrol,yes,2007,Camry,front,Moderate,9,6-10,Moderate,20.0,High
1605,Porsche,44500.0,crossover,115.0,4.8,Petrol,yes,2010,Cayenne,full,High,6,3-6,Moderate,19.17,High
1606,Hyundai,11500.0,van,183.0,2.5,Diesel,yes,2008,H1 пасс.,rear,Moderate,8,6-10,Moderate,22.88,High
1607,Toyota,30900.0,sedan,15.0,2.5,Petrol,yes,2015,Camry,front,Moderate,1,0-1,Moderate,15.0,Moderate
1608,Opel,10000.0,van,142.0,2.0,Diesel,yes,2011,Vivaro груз.,front,Low,5,3-6,Low,28.4,Extreme
1609,Kia,11900.0,sedan,67.0,2.0,Petrol,yes,2011,Cerato,front,Low,5,3-6,Moderate,13.4,Moderate
1610,Subaru,14750.0,crossover,86.0,3.6,Petrol,yes,2009,Tribeca,full,Moderate,7,6-10,Moderate,12.29,Moderate
1611,Bentley,499999.0,crossover,0.0,6.0,Petrol,yes,2016,Bentayga,full,High,0,0-1,Extreme,0.0,Low
1612,Suzuki,9600.0,crossover,128.0,2.0,Petrol,yes,2006,Grand Vitara,full,Low,10,6-10,Low,12.8,Moderate
1613,Toyota,30950.0,other,45.0,4.6,Petrol,yes,2013,Tundra,full,High,3,1-3,Moderate,15.0,Moderate
1614,VAZ,5999.0,crossover,73.0,1.7,Petrol,yes,2007,2121,full,Low,9,6-10,Low,8.11,Low
1615,Lexus,13800.0,crossover,150.0,3.3,Petrol,yes,2005,RX 330,full,Moderate,11,10-29,Moderate,13.64,Moderate
1616,Mercedes-Benz,19200.0,sedan,173.0,5.0,Petrol,yes,2007,S 500,rear,High,9,6-10,Moderate,19.22,High
1617,Volkswagen,15800.0,van,194.0,2.0,Diesel,yes,2012,T5 (Transporter) груз,front,Low,4,3-6,Moderate,48.5,Extreme
1618,Audi,30650.0,vagon,35.0,2.0,Petrol,yes,2013,A4 Allroad,full,Low,3,1-3,Moderate,11.67,Moderate
1619,Toyota,25000.0,crossover,80.0,4.0,Gas,yes,2008,FJ Cruiser,full,Moderate,8,6-10,Moderate,10.0,Low
1620,Mercedes-Benz,5100.0,sedan,295.0,3.0,Diesel,yes,1994,E-Class,full,Moderate,22,10-29,Low,13.41,Moderate
1621,Volkswagen,28500.0,sedan,50.0,2.0,Petrol,yes,2013,Passat B7,front,Low,3,1-3,Moderate,16.67,High
1622,Opel,10800.0,other,206.0,2.0,Diesel,yes,2008,Vivaro пасс.,front,Low,8,6-10,Moderate,25.75,Extreme
1623,Mitsubishi,21500.0,crossover,47.0,2.4,Petrol,yes,2012,Outlander XL,full,Moderate,4,3-6,Moderate,11.75,Moderate
1624,Volkswagen,12000.0,other,209.0,1.9,Diesel,yes,2006,T5 (Transporter) груз,front,Low,10,6-10,Moderate,20.9,High
1625,Renault,17500.0,crossover,20.0,1.5,Diesel,yes,2016,Duster,full,Low,0,0-1,Moderate,0.0,Low
1626,Hyundai,7500.0,sedan,100.0,1.4,Petrol,yes,2007,Accent,front,Low,9,6-10,Low,11.11,Moderate
1627,Daewoo,5200.0,sedan,60.0,1.6,Gas,yes,2008,Lanos,front,Low,8,6-10,Low,7.5,Low
1628,Volkswagen,3650.0,sedan,197.0,2.0,Petrol,yes,1996,Passat B4,front,Low,20,10-29,Low,9.85,Low
1629,Mitsubishi,17500.0,crossover,38.0,1.8,Petrol,yes,2012,ASX,front,Low,4,3-6,Moderate,9.5,Low
1630,Dodge,9500.0,crossover,220.0,5.2,Gas,yes,2000,Durango,full,High,16,10-29,Low,13.75,Moderate
1631,Honda,15500.0,crossover,96.0,2.4,Petrol,yes,2009,CR-V,full,Moderate,7,6-10,Moderate,13.71,Moderate
1632,Ford,29900.0,crossover,68.0,2.0,Diesel,yes,2015,Kuga,full,Low,1,0-1,Moderate,68.0,Extreme
1633,Mercedes-Benz,100177.5,van,0.0,2.2,Diesel,yes,2016,V 250,full,Moderate,0,0-1,Extreme,0.0,Low
1634,Skoda,13200.0,vagon,95.0,1.6,Diesel,yes,2012,Octavia A5,front,Low,4,3-6,Moderate,23.75,High
1635,Opel,9900.0,sedan,109.0,2.2,Gas,yes,2009,Vectra C,front,Moderate,7,6-10,Low,15.57,High
1636,Infiniti,40900.0,crossover,64.0,3.0,Diesel,yes,2014,FX 30,full,Moderate,2,1-3,Moderate,32.0,Extreme
1637,Hyundai,11200.0,crossover,90.0,2.0,Gas,yes,2008,Tucson,full,Low,8,6-10,Moderate,11.25,Moderate
1638,Lexus,25999.0,crossover,207.0,4.7,Gas,yes,2007,LX 470,full,High,9,6-10,Moderate,23.0,High
1639,Ford,2200.0,sedan,500.0,2.0,Gas,yes,1993,Scorpio,rear,Low,23,10-29,Low,21.74,High
1640,Volkswagen,28713.75,hatch,35.0,2.0,Diesel,yes,2015,Golf VII,front,Low,1,0-1,Moderate,35.0,Extreme
1641,Volkswagen,13000.0,crossover,235.0,3.2,Gas,yes,2005,Touareg,full,Moderate,11,10-29,Moderate,21.36,High
1642,Audi,17500.0,sedan,94.0,1.8,Petrol,yes,2008,A4,front,Low,8,6-10,Moderate,11.75,Moderate
1643,Nissan,8100.0,sedan,88.0,1.6,Petrol,yes,2012,Almera,front,Low,4,3-6,Low,22.0,High
1644,Renault,7300.0,van,186.0,1.5,Diesel,yes,2010,Kangoo пасс.,front,Low,6,3-6,Low,31.0,Extreme
1645,Nissan,6200.0,sedan,170.0,1.8,Gas,yes,2005,Almera,front,Low,11,10-29,Low,15.45,High
1646,ZAZ,2499.0,sedan,45.0,1.2,Gas,yes,2007,1103 Славута,front,Low,9,6-10,Low,5.0,Low
1647,Volkswagen,11350.0,van,190.0,2.0,Diesel,yes,2011,T5 (Transporter) груз,front,Low,5,3-6,Moderate,38.0,Extreme
1648,Hyundai,7500.0,sedan,104.0,1.6,Petrol,yes,2010,Elantra,front,Low,6,3-6,Low,17.33,High
1649,BMW,28500.0,crossover,160.0,4.8,Gas,yes,2008,X5,full,High,8,6-10,Moderate,20.0,High
1650,Citroen,8500.0,hatch,65.0,1.4,Petrol,yes,2012,C3,front,Low,4,3-6,Low,16.25,High
1651,Opel,2100.0,vagon,240.0,2.2,Gas,no,2001,Vectra B,front,Moderate,15,10-29,Low,16.0,High
1652,Renault,12179.0,vagon,95.0,1.5,Diesel,yes,2012,Megane,front,Low,4,3-6,Moderate,23.75,High
1653,Mercedes-Benz,35500.0,sedan,160.0,6.5,Petrol,yes,2008,S 65 AMG,rear,Extreme,8,6-10,Moderate,20.0,High
1654,Renault,12350.0,van,159.0,2.0,Diesel,yes,2010,Trafic пасс.,front,Low,6,3-6,Moderate,26.5,Extreme
1655,Lexus,35000.0,crossover,33.0,3.5,Petrol,yes,2012,RX 350,full,Moderate,4,3-6,Moderate,8.25,Low
1656,Renault,6000.0,van,162.0,1.4,Petrol,yes,2007,Kangoo пасс.,front,Low,9,6-10,Low,18.0,High
1657,Mercedes-Benz,19600.0,vagon,127.0,1.8,Diesel,yes,2013,B 180,front,Low,3,1-3,Moderate,42.33,Extreme
1658,Lexus,47000.0,crossover,82.0,5.7,Petrol,yes,2009,LX 570,full,High,7,6-10,Moderate,11.71,Moderate
1659,Renault,8300.0,van,177.0,1.5,Diesel,yes,2007,Grand Scenic,front,Low,9,6-10,Low,19.67,High
1660,Volkswagen,14500.0,van,168.0,2.0,Diesel,yes,2012,T5 (Transporter) груз,front,Low,4,3-6,Moderate,42.0,Extreme
1661,Volkswagen,7200.0,van,270.0,1.9,Diesel,yes,2008,T5 (Transporter) груз,front,Low,8,6-10,Low,33.75,Extreme
1662,Renault,9100.0,vagon,176.0,1.5,Diesel,yes,2011,Scenic,front,Low,5,3-6,Low,35.2,Extreme
1663,Volkswagen,7900.0,van,229.0,1.9,Diesel,yes,2001,T4 (Transporter) пасс.,front,Low,15,10-29,Low,15.27,High
1664,Renault,7000.0,vagon,231.0,1.6,Petrol,yes,2008,Scenic,front,Low,8,6-10,Low,28.88,Extreme
1665,Ford,1050.0,sedan,160.0,1.4,Petrol,yes,1988,Escort,front,Low,28,10-29,Low,5.71,Low
1666,Mitsubishi,6000.0,hatch,118.0,1.3,Petrol,yes,2006,Colt,front,Low,10,6-10,Low,11.8,Moderate
1667,Volkswagen,2900.0,sedan,315.0,1.6,Gas,yes,1990,Passat B3,front,Low,26,10-29,Low,12.12,Moderate
1668,Opel,9700.0,other,175.0,1.3,Diesel,yes,2013,Astra J,front,Low,3,1-3,Low,58.33,Extreme
1669,Nissan,7600.0,hatch,280.0,1.6,Petrol,yes,2007,Note,front,Low,9,6-10,Low,31.11,Extreme
1670,Volkswagen,35800.0,crossover,92.0,3.0,Diesel,yes,2011,Touareg,full,Moderate,5,3-6,Moderate,18.4,High
1671,ZAZ,1000.0,hatch,150.0,1.2,Petrol,yes,2004,1102 Таврия,front,Low,12,10-29,Low,12.5,Moderate
1672,ZAZ,1800.0,hatch,150.0,1.2,Gas,yes,2004,1102 Таврия,front,Low,12,10-29,Low,12.5,Moderate
1673,Mercedes-Benz,26800.0,sedan,162.0,5.5,Petrol,yes,2007,S 500,full,High,9,6-10,Moderate,18.0,High
1674,Skoda,21500.0,sedan,64.0,1.8,Petrol,yes,2013,Superb,front,Low,3,1-3,Moderate,21.33,High
1675,Renault,10850.0,crossover,103.0,2.5,Gas,yes,2010,Koleos,full,Moderate,6,3-6,Moderate,17.17,High
1676,Bentley,117000.0,sedan,830.0,6.0,Petrol,yes,2011,Flying Spur,full,High,5,3-6,Extreme,166.0,Extreme
1677,Mazda,15000.0,sedan,78.0,2.0,Petrol,yes,2010,6,front,Low,6,3-6,Moderate,13.0,Moderate
1678,Mazda,16000.0,sedan,47.0,2.0,Petrol,yes,2011,6,front,Low,5,3-6,Moderate,9.4,Low
1679,Mazda,7700.0,sedan,121.0,1.6,Petrol,yes,2007,3,front,Low,9,6-10,Low,13.44,Moderate
1680,Honda,9300.0,sedan,135.0,1.4,Other,yes,2008,Civic,front,Low,8,6-10,Low,16.88,High
1681,Seat,9100.0,vagon,78.0,1.2,Diesel,yes,2013,Ibiza,front,Low,3,1-3,Low,26.0,Extreme
1682,Land Rover,39700.0,crossover,87.0,5.0,Petrol,yes,2010,Range Rover,full,High,6,3-6,Moderate,14.5,Moderate
1683,Renault,8250.0,sedan,148.0,1.5,Other,yes,2011,Kangoo пасс.,front,Low,5,3-6,Low,29.6,Extreme
1684,Kia,14500.0,sedan,91.0,2.0,Petrol,yes,2013,Cerato,front,Low,3,1-3,Moderate,30.33,Extreme
1685,Land Rover,84999.0,crossover,81.0,5.0,Petrol,yes,2013,Range Rover,full,High,3,1-3,High,27.0,Extreme
1686,Ford,1000.0,hatch,2.0,1.4,Petrol,yes,1985,Fiesta,front,Low,31,30+,Low,0.06,Low
1687,Nissan,16800.0,crossover,52.0,1.6,Petrol,yes,2013,Qashqai,front,Low,3,1-3,Moderate,17.33,High
1688,Kia,13460.265,hatch,1.0,1.6,Petrol,yes,2016,Ceed,front,Low,0,0-1,Moderate,0.0,Low
1690,Volkswagen,8800.0,van,240.0,1.9,Diesel,yes,2003,T5 (Transporter) пасс.,front,Low,13,10-29,Low,18.46,High
1691,Mitsubishi,9500.0,crossover,150.0,2.0,Gas,yes,2007,Outlander,full,Low,9,6-10,Low,16.67,High
1692,Toyota,14500.0,other,82.0,2.0,Gas,yes,2007,Rav 4,full,Low,9,6-10,Moderate,9.11,Low
1693,Renault,11500.0,van,160.0,1.5,Diesel,yes,2010,Grand Scenic,front,Low,6,3-6,Moderate,26.67,Extreme
1694,Smart,3100.0,other,103.0,6.0,Petrol,yes,2000,Fortwo,rear,High,16,10-29,Low,6.44,Low
1695,Volkswagen,9000.0,van,181.0,1.6,Diesel,yes,2011,Caddy груз.,front,Low,5,3-6,Low,36.2,Extreme
1696,Toyota,12800.0,sedan,123.0,3.5,Petrol,yes,2007,Camry,front,Moderate,9,6-10,Moderate,13.67,Moderate
1697,Mercedes-Benz,10200.0,sedan,174.0,2.6,Gas,yes,2001,E-Class,rear,Moderate,15,10-29,Moderate,11.6,Moderate
1698,BMW,69999.0,crossover,1.0,2.0,Petrol,yes,2016,X5,full,Low,0,0-1,High,0.0,Low
1699,Mercedes-Benz,90749.5,crossover,0.0,3.0,Petrol,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
1700,Nissan,13300.0,crossover,87.0,2.0,Gas,yes,2011,Qashqai,front,Low,5,3-6,Moderate,17.4,High
1701,BMW,42000.0,sedan,59.0,4.4,Petrol,yes,2009,750,rear,High,7,6-10,Moderate,8.43,Low
1702,Volkswagen,4400.0,hatch,238.0,1.6,Petrol,yes,1994,Golf III,front,Low,22,10-29,Low,10.82,Moderate
1703,Toyota,18800.0,crossover,105.0,2.0,Gas,yes,2011,Rav 4,full,Low,5,3-6,Moderate,21.0,High
1704,Honda,7500.0,other,165.0,2.4,Petrol,yes,2005,Accord,front,Moderate,11,10-29,Low,15.0,Moderate
1705,Mercedes-Benz,7300.0,van,207.0,2.2,Diesel,yes,2003,Vito пасс.,front,Moderate,13,10-29,Low,15.92,High
1706,BMW,29999.0,other,73.0,2.0,Petrol,yes,2012,320,rear,Low,4,3-6,Moderate,18.25,High
1707,Volkswagen,17500.0,vagon,160.0,1.4,Petrol,yes,2011,Passat B7,front,Low,5,3-6,Moderate,32.0,Extreme
1708,Renault,9200.0,vagon,155.0,1.5,Diesel,yes,2010,Clio,front,Low,6,3-6,Low,25.83,Extreme
1709,Peugeot,4700.0,van,245.0,1.6,Diesel,yes,2006,Partner пасс.,front,Low,10,6-10,Low,24.5,High
1710,Mercedes-Benz,3799.0,sedan,210.0,2.0,Petrol,yes,1995,E-Class,rear,Low,21,10-29,Low,10.0,Low
1711,BYD,12800.0,crossover,42.0,2.4,Gas,yes,2013,S6,front,Moderate,3,1-3,Moderate,14.0,Moderate
1712,Ford,8599.0,van,150.0,1.8,Diesel,yes,2010,Transit Connect пасс.,front,Low,6,3-6,Low,25.0,High
1713,Volkswagen,21000.0,other,93.0,2.0,Diesel,yes,2012,Passat B7,front,Low,4,3-6,Moderate,23.25,High
1714,Jeep,27500.0,crossover,250.0,3.0,Diesel,yes,2012,Grand Cherokee,full,Moderate,4,3-6,Moderate,62.5,Extreme
1715,BMW,4800.0,sedan,11.0,2.5,Diesel,yes,1994,325,rear,Moderate,22,10-29,Low,0.5,Low
1716,Suzuki,10500.0,crossover,92.0,2.0,Petrol,yes,2006,Grand Vitara,full,Low,10,6-10,Moderate,9.2,Low
1717,Volkswagen,7500.0,van,180.0,2.5,Diesel,yes,2004,T5 (Transporter) груз,front,Moderate,12,10-29,Low,15.0,Moderate
1718,Hyundai,21400.0,crossover,63.0,2.0,Diesel,yes,2012,IX35,full,Low,4,3-6,Moderate,15.75,High
1720,Nissan,11999.0,crossover,113.0,3.5,Gas,yes,2005,Murano,full,Moderate,11,10-29,Moderate,10.27,Moderate
1721,Seat,4200.0,sedan,300.0,1.9,Diesel,yes,1996,Cordoba,front,Low,20,10-29,Low,15.0,Moderate
1723,Land Rover,52900.0,crossover,25.0,3.5,Petrol,yes,2012,Range Rover Sport,full,Moderate,4,3-6,High,6.25,Low
1724,Suzuki,12000.0,hatch,87.0,1.6,Gas,yes,2011,SX4,front,Low,5,3-6,Moderate,17.4,High
1725,Peugeot,19500.0,crossover,90.0,1.6,Diesel,yes,2014,3008,front,Low,2,1-3,Moderate,45.0,Extreme
1726,Audi,21800.0,vagon,172.0,2.0,Diesel,yes,2011,A4,front,Low,5,3-6,Moderate,34.4,Extreme
1727,BMW,4200.0,sedan,277.0,2.0,Petrol,yes,1991,320,rear,Low,25,10-29,Low,11.08,Moderate
1728,Peugeot,6400.0,hatch,198.0,1.4,Gas,yes,2008,207,front,Low,8,6-10,Low,24.75,High
1729,Audi,73500.0,sedan,62.0,3.0,Petrol,yes,2013,A8,full,Moderate,3,1-3,High,20.67,High
1730,Hyundai,12650.0,other,55.0,1.4,Diesel,yes,2013,i30,front,Low,3,1-3,Moderate,18.33,High
1731,BMW,10800.0,sedan,288.0,4.4,Gas,yes,2002,745,rear,High,14,10-29,Moderate,20.57,High
1732,Porsche,49999.0,crossover,65.0,3.6,Petrol,yes,2012,Cayenne,full,Moderate,4,3-6,Moderate,16.25,High
